date,description,amount,category
2026-01-26,SWIGGY*ORDER470,-403.35,Food
2026-01-26,REFUND CREDIT,1415.12,Income
2026-01-26,INDIGO AIRLINES,-5494.08,Travel
2026-01-26,UPI-1461-TXN,-990.12,Shopping
2026-01-28,REFUND CREDIT,700.23,Income
2026-01-28,STARBUCKS COFFEE,-206.06,Food
2026-01-28,UPI-6543210987-BILL,-549.37,Bills
2026-01-29,UPI-1234567890-CREDIT,3024.08,Income
2026-01-29,FLIPKART INTERNET,-1708.1,Shopping
2026-01-30,FLIPKART INTERNET,-3117.74,Shopping
2026-01-30,PAYTM*MALL15,-505.06,Shopping
2026-02-02,DOMINOS IZZA,-374.05,Food
2026-02-04,SPOTIFY PREMIUM,-195.11,Entertainment
2026-02-04,INDIGO AILINES,-4278.84,Travel
2026-02-05,SALARY CREDIT XYZCORP,37346.76,Income
2026-02-05,NETFLIX SUBSCRIPTION,-381.0,Entertainment
2026-02-05,IRCTC TICKET,-994.17,Travel
2026-02-05,UPI-7654321098-SHOP,-2045.71,Shopping
2026-02-06,FREEANCE PAYMENT,13809.35,Income
2026-02-07,RAPIDO BIKE,-70.5,Travel
2026-02-08,NETFLIX SUBSCRIPTION,-543.23,Bills
2026-02-08,POS PURCHASE 5193,-725.4,Food
2026-02-09,NETFLIX SUBSCRIPTION,-630.55,Entertainment
2026-02-09,REFUND CREDIT,1905.12,Income
2026-02-09,UPI-4711-TXN,-2999.93,Bills
2026-02-10,STARBUCKS COFFEE,-315.11,Food
2026-02-10,UPI-1234567890-CREDIT918,1576.84,Income
2026-02-11,JIO RECHARGE752,-493.94,Bills
2026-02-11,RELIANCE RETAIL,-724.26,Shopping
2026-02-12,JIO RECHARGE,-321.3,Bills
2026-02-15,RAPIDO BIKE,-85.35,Travel
2026-02-16,INDIGO AIRLINES,-5706.25,Travel
2026-02-17,PVR CINEMAS,-302.07,Entertainment
2026-02-17,AIRTEL OSTPAID,-476.19,Bills
2026-02-18,NETFLIX SUBSCRIPTION,-603.75,Entertainment
2026-02-18,BOOKMYSHOW TICKET,-542.99,Entertainment
2026-02-19,UPI-6543210987-BILL,-287.42,Bills
2026-02-20,AIRTEL POTPAID,-310.61,Bills
2026-02-22,NETFLIX SUBSCRIPTION,-407.89,Bills
2026-02-22,PAYTM*FOODCOURT,-336.09,Food
2026-02-22,STARBUCKS COFFEE,-163.7,Food
2026-02-23,AMAZON PAY378,-1060.74,Shopping
2026-02-26,UPI-1234567890-CREDIT,918.74,Income
2026-02-26,CARD PAYMENT 2502,-1898.19,Travel
2026-02-28,UPI-6543210987-BILL,-220.69,Bills
2026-03-02,SWIGG*ORDER235,-181.89,Food
2026-03-02,NETFLIX SUBSCRIPTION,-277.28,Entertainment
2026-03-02,UPI-1234567890-CREDIT,3278.57,Income
2026-03-02,UPI-7654321098-SHOP,-2482.1,Shopping
2026-03-02,CARD PAYMENT 2821,-1574.73,Entertainment
2026-03-03,STARBUCKS COFFEE,-305.33,Food
2026-03-04,SALARY CREDIT XYZCORP,46024.2,Income
2026-03-04,NETFLIX SUBSCRIPTION,-334.2,Bills
2026-03-05,RAPIDO BIKE,-49.37,Travel
2026-03-06,RELIANCE RETAIL,-2978.97,Shopping
2026-03-07,PAYTM*MALL514,-2127.04,Shopping
2026-03-09,MYNTRA DESIGNS,-1196.95,Shopping
2026-03-10,BOOKMYSHOW TICKET,-697.68,Entertainment
2026-03-12,MYNTRA DESIGNS,-1932.25,Shopping
2026-03-13,OLA CABS,-239.46,Travel
2026-03-14,APARTMENT MAINTENANCE,-2045.85,Bills
2026-03-14,POS PURCHASE 9452,-2568.38,Shopping
2026-03-15,DOMINOS PIZZ,-692.56,Food
2026-03-15,UPI-6543210987-BILL,-261.99,Bills
2026-03-15,SALARY CREDIT XYZCORP,44901.82,Income
2026-03-15,AYTM*FOODCOURT,-117.07,Food
2026-03-15,NEFT TRANSFER,1119.2,Income
2026-03-17,SPOTIFY PREMIUM,-152.19,Entertainment
2026-03-17,AIRTEL POSTPAID,-352.56,Bills
2026-03-18,SPOTIFY PREMIUM,-177.58,Entertainment
2026-03-20,ELECTRICITY BOARD BILL,-1582.52,Bills
2026-03-20,UPI-7654321098-SHOP,-1675.42,Shopping
2026-03-21,PETROL PUMP 774,-801.73,Travel
2026-03-21,INDIGO AIRLINES,-2775.26,Travel
2026-03-21,CARD PAYMENT 4833,1114.62,Income
2026-03-22,NETFLIX SUBSCRIPTION,-356.27,Bills
2026-03-24,UBER TRIP 367,-156.14,Travel
2026-03-25,UBER TRIP 267,-147.73,Travel
2026-03-26,PVR CINEMAS,-866.77,Entertainment
2026-03-26,STARBUCKS COFFEE,-367.42,Food
2026-03-26,PETROL PUMP 62,-1342.38,Travel
2026-03-28,PVR CINEMAS,-398.52,Entertainment
2026-03-28,DOMINOS PIZZA,-454.49,Food
2026-03-29,NETFLIX SUBSCRIPTION,-452.98,Entertainment
2026-03-29,NEFT TRANSFER,-4780.26,Shopping
2026-03-30,AMAZON PAY,-1269.24,Shopping
2026-03-30,BOOKMYSHOW TICKET,-669.58,Entertainment
2026-03-31,BIGBASKET GROCERY,-578.13,Food
2026-03-31,SALARY CREDIT XYZCORP,57177.68,Income
2026-04-01,NETFLIX SUBSCRIPTION286,-443.77,Entertainment
2026-04-01,SPOTIFY PREMIUM,-164.03,Entertainment
2026-04-01,UPI-6543210987-BILL,-680.33,Bills
2026-04-01,NEFT TRANSFER,-507.04,Travel
2026-04-03,LOCAL RESTAURANT 850,-819.82,Food
2026-04-03,UPI-9876543210-FOOD,-273.41,Food
2026-04-03,SPOTIFY PREMIUM,-143.7,Entertainment
2026-04-04,RAPIDO BIKE,-89.88,Travel
2026-04-04,UPI-8170-TXN,-178.89,Entertainment
2026-04-05,NETFLIX SUBSCRIPTION,-216.36,Entertainment
2026-04-05,PVR CINEMAS,-471.58,Entertainment
2026-04-06,REFUND CREDIT,1987.94,Income
2026-04-07,SOTIFY PREMIUM,-197.85,Entertainment
2026-04-09,FREELANCE PAYMENT,9753.32,Income
2026-04-09,UPI-7654321098-SHOP,-2471.94,Shopping
2026-04-12,NEFT TRANSFER,-2367.04,Bills
2026-04-13,OLA CABS,-174.81,Travel
2026-04-13,RELIANCE RETAIL,-2454.01,Shopping
2026-04-13,AMAZON PAY,-1829.07,Shopping
2026-04-14,RELIANCE RETAIL,-1342.68,Shopping
2026-04-14,BOOMYSHOW TICKET,-782.11,Entertainment
2026-04-14,AIRTEL POSTPAID,-471.71,Bills
2026-04-17,RELIANCE RETAIL,-2281.94,Shopping
2026-04-18,NETFLIX SUBSRIPTION,-626.72,Entertainment
2026-04-18,UPI-7654321098-SHOP,-2848.73,Shopping
2026-04-19,APARTMENT MAINTENANCE,-2808.65,Bills
2026-04-20,RELIANCE RETAIL,-3165.26,Shopping
2026-04-23,STARBUCKS COFFEE,-381.92,Food
2026-04-23,SPOTIFY PREMIUM,-145.29,Entertainment
2026-04-23,PAYTM*FOODCOURT140,-174.32,Food
2026-04-24,PETROL PUMP 371,-1247.74,Travel
2026-04-26,UPI-6543210987-BILL,-919.69,Bills
2026-04-26,NETFLIX SUBSCRIPTION,-630.75,Entertainment
2026-04-26,NETFLIX SUBSCRIPTION,-496.83,Bills
2026-04-26,PAYTM*MALL488,-2406.99,Shopping
2026-04-27,STARBUCKS COFFEE,-342.12,Food
2026-04-27,AIRTEL POSTPAID,-639.33,Bills
2026-04-27,AMAZON PAY,-1063.34,Shopping
2026-04-27,AMAZON PAY,-569.22,Shopping
2026-04-27,ZOMATO ONLINE,-178.34,Food
2026-04-29,BOOKMYSHOW TICKET,-281.42,Entertainment
2026-04-29,SALARY CREDIT XYZCORP,48838.46,Income
2026-04-30,ZOMATO ONLINE,-302.14,Food
2026-04-30,JIO RECHARGE,-441.27,Bills
2026-05-01,OLA CAB,-341.28,Travel
2026-05-01,NETFLIX SUBSCRIPTION,-684.53,Entertainment
2026-05-01,PAYTM*MALL723,-2136.39,Shopping
2026-05-02,RELIANCE RETAIL,-1062.47,Shopping
2026-05-02,UPI-6543210987-BILL,-665.24,Bills
2026-05-02,REFUND CREDIT,2123.1,Income
2026-05-03,BOOKMYSHOW TICKET,-230.09,Entertainment
2026-05-03,SPOTIFY PREMIUM,-122.49,Entertainment
2026-05-04,REFUND CREDIT,1706.88,Income
2026-05-04,RELIANCE RETAIL,-3498.06,Shopping
2026-05-04,UPI-5096-TXN,-203.93,Entertainment
2026-05-06,PVR CINEMAS,-314.36,Entertainment
2026-05-07,UPI-6543210987-BILL,-757.08,Bills
2026-05-07,UI-7654321098-SHOP,-1052.22,Shopping
2026-05-08,PETROL PUMP 898,-818.94,Travel
2026-05-08,FLIPKART ITERNET,-919.95,Shopping
2026-05-08,CARD PAYMENT 2029,-310.63,Entertainment
2026-05-09,CARD PAYMENT 5616,-1578.44,Bills
2026-05-10,REFUND CREDIT,2588.16,Income
2026-05-11,REFUND CREDIT,670.77,Income
2026-05-12,UPI-5469-TXN,-1375.49,Food
2026-05-13,UPI-9876543210-FOOD,-483.19,Food
2026-05-14,PETROL PUM 609,-1375.51,Travel
2026-05-14,FLIPKART INTERNET,-3180.35,Shopping
2026-05-14,UPI-1234567890-CREDIT,1292.62,Income
2026-05-16,PAYTM*OODCOURT,-143.67,Food
2026-05-18,LOCAL RESTAURANT 360,-479.77,Food
2026-05-19,UPI-7654321098-SHOP,-570.05,Shopping
2026-05-19,NEFT TRANSFER,-2784.6,Food
2026-05-20,NEFT TRANSFER,-4790.32,Entertainment
2026-05-22,ELECTRICITY BOARD BILL,-1386.71,Bills
2026-05-23,NEFT TRANSFER,1983.61,Income
2026-05-24,PAYM*MALL377,-2075.89,Shopping
2026-05-25,AMAZON PAY,-1041.1,Shopping
2026-05-26,ZOMATO ONLINE,-293.62,Food
2026-05-26,LOCAL RESTAURANT 903,-725.33,Food
2026-05-26,SWIGGY*ORDER170,-417.77,Food
2026-05-27,UPI-7654321098-SHOP,-570.47,Shopping
2026-05-27,UPI-7026-TXN,-2051.01,Bills
2026-05-28,RELIANCE RETAIL,-758.5,Shopping
2026-05-28,IRCTC TICKET,-1421.78,Travel
2026-05-29,AMAZON PAY,-1005.28,Shopping
2026-05-29,ZOMATO ONLINE,-285.33,Food
2026-05-30,NETFLIX SUBSCRIPTION,-448.83,Entertainment
2026-05-31,OLA CABS,-196.77,Travel
2026-05-31,NETFLIX SUBSCRIPTION,-348.68,Entertainment
2026-05-31,STARBUCKS COFFEE,-347.81,Food
2026-06-01,SALARY CREDIT XYZCORP,46361.0,Income
2026-06-01,ELECTRICITY BOARD BILL,-2341.78,Bills
2026-06-01,UPI-1234567890-CREDIT,1392.48,Income
2026-06-01,FREELANCE PAYMENT,3641.2,Income
2026-06-01,BIGBASKET GROCERY,-1694.49,Food
2026-06-02,RAPIDO BIKE,-148.67,Travel
2026-06-04,RELIANCE RETAIL,-1806.52,Shopping
2026-06-06,STARBUCKS COFFEE674,-232.0,Food
2026-06-08,PETROL PUMP 822,-1454.93,Travel
2026-06-08,UPI-123456890-CREDIT,1273.43,Income
2026-06-08,POS PURCHASE 6517,2641.54,Income
2026-06-10,UPI-7654321098-SHOP,-2871.59,Shopping
2026-06-12,JIO RECHARGE,-215.24,Bills
2026-06-12,NETFLIX SUBSCRIPTION,-482.25,Entertainment
2026-06-13,POS PURCHASE 1782,-791.47,Shopping
2026-06-15,NETFLIX SUBSCRIPTION,-545.3,Bills
2026-06-16,AIRTEL POSTPAID,-641.12,Bills
2026-06-17,MYNTRA DESIGNS,-1701.97,Shopping
2026-06-18,BIGBASKET GROCERY884,-688.64,Food
2026-06-18,SPOTIFY PREMIUM957,-166.96,Entertainment
2026-06-18,PVR CINEMAS,-722.71,Entertainment
2026-06-18,CARD PAYMENT 5655,578.79,Income
2026-06-19,UPI-6543210987-BILL,-826.69,Bills
2026-06-19,UPI-6461-TXN,-290.43,Entertainment
2026-06-20,OLA CABS,-260.85,Travel
2026-06-21,UPI-1234567890-CREDIT335,2751.18,Income
2026-06-21,CARD PAYMENT 6381,-1645.05,Shopping
2026-06-22,AIRTEL POSTPAID,-481.91,Bills
2026-06-23,PVR CINEMAS,-861.24,Entertainment
2026-06-24,IRCTC TICKET,-693.68,Travel
2026-06-25,FREELANCE PAYMENT,5920.57,Income
2026-06-26,INDIGO AIRLINES,-5738.87,Travel
2026-06-26,IRCTC TICKET,-1445.97,Travel
2026-06-26,JIO RECHARGE,-488.61,Bills
2026-06-27,CARD PAYMENT 3527,-408.27,Travel
2026-06-28,NETFLIX SUBSCRIPTION,-634.8,Entertainment
2026-06-28,NEFT TRANSFER,-4854.63,Travel
2026-06-29,STARBUCKS COFFEE,-293.7,Food
2026-06-29,UPI-8765432109-CAB,-239.28,Travel
2026-06-30,IRCTC TICKET,-1317.12,Travel
2026-07-02,PAYTM*MALL52,-1587.8,Shopping
2026-07-03,AIRTEL POSTPAID,-499.35,Bills
2026-07-03,POS PURCHASE 9443,-1767.64,Entertainment
2026-07-04,BOOKMYSHOW TICKET,-251.37,Entertainment
2026-07-04,UPI-1234567890-CREDIT,1537.42,Income
2026-07-05,DOMINOS PIZZA,-730.07,Food
2026-07-08,REFUND CREDIT,2446.26,Income
2026-07-09,JIO RECHARGE,-382.89,Bills
2026-07-11,UPI-6543210987-BIL,-631.18,Bills
2026-07-11,DOMINOS PIZZA,-315.33,Food
2026-07-12,ELECTRICITY BOARD BILL,-1577.28,Bills
2026-07-12,ELECTRICITY BOARD BILL,-809.43,Bills
2026-07-12,LOCAL RESTAURANT 715,-646.51,Food
2026-07-12,SALARY CREDIT XYZCORP,49960.22,Income
2026-07-12,UPI-8277-TXN,1851.26,Income
2026-07-13,UPI-8765432109-CAB,-295.53,Travel
2026-07-14,DOMINOS PIZZA,-601.2,Food
2026-07-15,UPI-8765432109-CAB,-146.64,Travel
2026-07-16,SALARY CREDIT XYZCORP,52526.33,Income
2026-07-16,INDIGO AIRLINES576,-4948.13,Travel
2026-07-18,UPI-9876543210-FOOD,-347.37,Food
2026-07-19,FLIPKART INTERNET,-859.78,Shopping
2026-07-21,AMAZON PAY,-1233.36,Shopping
2026-07-21,LOCAL RESTAURANT 792,-490.46,Food
2026-07-21,SALARY CREDIT XYZCORP,31182.68,Income
2026-07-22,NETFLIX SUBSCRIPTION,-498.94,Bills
2026-07-25,CARD PAYMENT 3655,-1652.09,Entertainment
2026-07-26,SPOTIFY PREMIUM999,-198.83,Entertainment
2026-07-26,IRCTC TICKET,-401.86,Travel
2026-07-27,ZOMATO ONLIE,-437.68,Food
2026-07-29,PAYTM*MALL827,-317.21,Shopping
2026-07-30,JIO RECHARGE,-484.7,Bills
